Customer Tier,Transaction date,Replace,Remove,Firedoor,Drop Test,Bumpers,Is_customer_Lenworth,Specialty Door,Dock Seal,Door(general),Hardware/Parts,Dimensions,Column1,Work_type,sqft_services,Flat_Services,Operator/Opener,Install,Quantity,Sales price,Amount,Totals,Distance,service,Distance Tier,unique,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,door_width,door_height,door_sqft,size_source,size_confidence,size_note
Loyalty,17/08/2021,0,0,0,0,0,1,0,0,1,0,17 * 18 & 17 * 16,,Install,Door (General),,0,1,1.0,6069.0,6069.0,6857.97,51.62,Door (General) Install,0,,,,,,,,1380.0,back_calculated,high,back_calculated | raw=1379.3 snapped=1380
Recurring,07/06/2021,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),Operator/Opener,0,1,1.0,6000.0,6000.0,6780.0,17.58,Door (General) Install,0,,,,,,,,990.0,back_calculated,high,back_calculated | raw=991.7 snapped=990
Recurring,20/09/2023,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,5900.0,5900.0,6667.0,279.3,Door (General) Install,2,,,,,,,,975.0,back_calculated,high,back_calculated | raw=975.2 snapped=975
Loyalty,02/10/2023,0,0,0,0,0,1,0,0,1,0,,,Install,Door (General),,0,1,1.0,5850.0,5850.0,6610.5,147.2,Door (General) Install,1,,,,,,,,1330.0,back_calculated,high,back_calculated | raw=1329.5 snapped=1330
Recurring,22/04/2023,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,5325.0,5325.0,6017.25,549.6,Door (General) Install,5,,,,,,,,880.0,back_calculated,high,back_calculated | raw=880.2 snapped=880
Recurring,28/12/2020,0,0,0,0,0,0,0,0,1,0,18 * 10,,Supply & Install,Door (General),Operator/Opener,0,0,1.0,5150.0,5150.0,5819.5,218.0,Door (General) Supply & Install,2,,,,,,,,850.0,back_calculated,high,back_calculated | raw=851.2 snapped=850
Recurring,10/06/2021,0,0,0,0,0,0,0,0,1,0,,,Supply & Install,Door (General),Operator/Opener,0,0,1.0,5120.0,5120.0,5785.6,137.0,Door (General) Supply & Install,1,,,,,,,,845.0,back_calculated,high,back_calculated | raw=846.3 snapped=845
Loyalty,07/10/2024,0,0,0,0,0,1,0,0,1,0,,,Install,Door (General),,0,1,1.0,5000.0,5000.0,5650.0,51.8,Door (General) Install,0,,,,,,,,1135.0,back_calculated,high,back_calculated | raw=1136.4 snapped=1135
Recurring,07/10/2024,0,0,0,0,0,0,0,0,1,0,12 * 10,,Supply & Install,Door (General),,0,0,1.0,4950.0,4950.0,5593.5,51.62,Door (General) Supply & Install,0,,,,,,,,820.0,back_calculated,high,back_calculated | raw=818.2 snapped=820
Recurring,17/03/2022,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,2.0,4855.0,9710.0,10972.3,116.0,Door (General) Install,1,,,,,,,,800.0,back_calculated,high,back_calculated | raw=802.5 snapped=800
